Stg1 Pressure 1,Stg2 Pressure 2,Temp1-Temp2
39.16972,8.3398,39.3
35.28694,8.4189,39.3
35.04274,8.2709,39.3
37.558,8.31546,39.3
37.41148,8.47563,39.3
37.558,8.21888,39.4
34.52991,8.3502,39.4
35.16484,8.27836,39.4
34.21246,8.26815,39.4
37.02076,8.33568,39.4
39.34066,8.38004,39.4
35.65324,8.29387,39.4
34.3834,8.48721,39.4
34.45666,8.20004,39.4
37.8022,8.37258,39.4
35.18925,8.29976,39.4
33.21124,8.42028,39.4
34.31013,8.26815,39.4
33.04029,8.47995,39.4
32.25885,8.3928,39.4
38.21734,8.32508,39.4
33.50427,8.40085,39.4
37.41148,8.3663,39.4
34.16362,8.35275,39.4
33.99268,8.30663,39.4
34.65202,8.18885,39.5
34.74969,8.44069,39.5
33.89499,8.43873,39.5
38.14408,8.29328,39.5
39.24298,8.39319,39.5
35.4823,8.31722,39.5
38.14408,8.28386,39.5
34.72527,8.26894,39.5
36.06838,8.49801,39.5
35.67766,8.34902,39.5
34.79854,8.25441,39.5
34.09035,8.36591,39.5
33.7729,8.26167,39.5
35.62882,8.44128,39.5
35.09158,8.27208,39.5
40.78144,8.22202,39.5
33.26007,8.38122,39.6
32.06349,8.46601,39.6
35.53114,7.56091,39.6
35.04274,8.44972,39.6
39.07204,8.32174,39.6
35.57998,8.3559,39.6
33.79731,8.29092,39.6
35.06715,8.31958,39.6
34.2613,8.39751,39.6
38.80342,8.35393,39.6
39.16972,8.41262,39.6
33.52869,8.30623,39.6
36.337,8.24793,39.6
33.2845,8.40948,39.6
34.9939,8.34294,39.6
36.01954,8.41478,39.6
34.79854,8.43716,39.6
38.70574,8.34706,39.6
36.06838,8.37238,39.6
36.63004,8.45856,39.6
35.16484,8.45149,39.7
34.16362,8.28602,39.7
32.64957,8.38769,39.7
39.12088,8.42303,39.7
32.06349,8.43245,39.7
35.16484,8.31742,39.7
38.48596,8.29681,39.7
35.14042,8.30682,39.7
36.2149,8.26697,39.7
33.7729,8.37454,39.7
39.19414,8.35354,39.7
35.92186,8.29073,39.7
36.89866,8.27129,39.7
34.96947,8.21044,39.7
36.5812,8.22399,39.7
35.116,8.3239,39.7
35.82418,8.36021,39.7
34.52991,8.20554,39.7
33.23566,8.36375,39.7
30.40293,8.45424,39.8
38.87668,8.29328,39.8
36.55678,8.42676,39.8
33.72406,8.26953,39.8
35.21368,8.2393,39.8
33.7729,8.30309,39.8
33.7729,8.24224,39.8
35.2381,8.43304,39.8
34.16362,8.35511,39.8
34.65202,8.36983,39.8
34.06594,8.28268,39.8
36.92308,8.28071,39.8
36.06838,8.27561,39.8
